ID,Species,Site,Status,Oocyte_Area
OFRA_11,OFRA,FTC,UB,176.753
OFRA_11,OFRA,FTC,UB,172.102
OFRA_11,OFRA,FTC,UB,159.477
OFRA_11,OFRA,FTC,UB,160.036
OFRA_11,OFRA,FTC,UB,165.537
OFRA_11,OFRA,FTC,UB,160.566
OFRA_11,OFRA,FTC,UB,162.771
OFRA_11,OFRA,FTC,UB,146.933
OFRA_11,OFRA,FTC,UB,151.75
OFRA_11,OFRA,FTC,UB,149.744
OFRA_11,OFRA,FTC,UB,144.619
OFRA_11,OFRA,FTC,UB,143.709
OFRA_11,OFRA,FTC,UB,127.565
OFRA_11,OFRA,FTC,UB,142.207
OFRA_11,OFRA,FTC,UB,143.163
OFRA_11,OFRA,FTC,UB,142.926
OFRA_11,OFRA,FTC,UB,156.959
OFRA_11,OFRA,FTC,UB,142.002
OFRA_11,OFRA,FTC,UB,150.438
OFRA_11,OFRA,FTC,UB,155.765
OFRA_11,OFRA,FTC,UB,149.897
OFRA_11,OFRA,FTC,UB,161.176
OFRA_11,OFRA,FTC,UB,151.932
OFRA_11,OFRA,FTC,UB,131.956
OFRA_11,OFRA,FTC,UB,106.362
OFRA_11,OFRA,FTC,UB,107.783
OFRA_11,OFRA,FTC,UB,124.546
OFRA_11,OFRA,FTC,UB,149.159
OFRA_11,OFRA,FTC,UB,158.063
OFRA_11,OFRA,FTC,UB,147.254
OFRA_11,OFRA,FTC,UB,150.674
OFRA_11,OFRA,FTC,UB,144.866
OFRA_11,OFRA,FTC,UB,143.354
OFRA_13,OFRA,FTC,B,140.228
OFRA_13,OFRA,FTC,B,143.431
OFRA_13,OFRA,FTC,B,140.324
OFRA_13,OFRA,FTC,B,148.031
OFRA_13,OFRA,FTC,B,146.431
OFRA_13,OFRA,FTC,B,151.973
OFRA_14,OFRA,FTC,UB,151.576
OFRA_14,OFRA,FTC,UB,148.231
OFRA_14,OFRA,FTC,UB,150.328
OFRA_14,OFRA,FTC,UB,146.056
OFRA_14,OFRA,FTC,UB,145.384
OFRA_14,OFRA,FTC,UB,138.145
OFRA_14,OFRA,FTC,UB,141.776
OFRA_14,OFRA,FTC,UB,129.592
OFRA_14,OFRA,FTC,UB,133.163
OFRA_14,OFRA,FTC,UB,135.929
OFRA_14,OFRA,FTC,UB,142.194
OFRA_14,OFRA,FTC,UB,138.48
OFRA_14,OFRA,FTC,UB,139.743
OFRA_14,OFRA,FTC,UB,143.498
OFRA_14,OFRA,FTC,UB,139.898
OFRA_14,OFRA,FTC,UB,140.844
OFRA_14,OFRA,FTC,UB,139.44
OFRA_14,OFRA,FTC,UB,146.943
OFRA_14,OFRA,FTC,UB,140.001
OFRA_14,OFRA,FTC,UB,145.963
OFRA_14,OFRA,FTC,UB,148.392
OFRA_14,OFRA,FTC,UB,148.461
OFRA_14,OFRA,FTC,UB,150.792
OFRA_14,OFRA,FTC,UB,164.795
OFRA_14,OFRA,FTC,UB,160.613
OFRA_14,OFRA,FTC,UB,156.422
OFRA_14,OFRA,FTC,UB,155.294
OFRA_14,OFRA,FTC,UB,152.019
OFRA_14,OFRA,FTC,UB,146.595
OFRA_14,OFRA,FTC,UB,155.834
OFRA_23,OFRA,FTC,B,133.012
OFRA_23,OFRA,FTC,B,148.295
OFRA_23,OFRA,FTC,B,138.294
OFRA_23,OFRA,FTC,B,149.564
OFRA_23,OFRA,FTC,B,152.468
OFRA_24,OFRA,FTC,B,156.116
OFRA_24,OFRA,FTC,B,130.667
OFRA_24,OFRA,FTC,B,129.18
OFRA_24,OFRA,FTC,B,107.511
OFRA_24,OFRA,FTC,B,112.081
OFRA_24,OFRA,FTC,B,130.886
OFRA_24,OFRA,FTC,B,114.594
OFRA_24,OFRA,FTC,B,104.412
OFRA_24,OFRA,FTC,B,115.949
OFRA_24,OFRA,FTC,B,123.288
OFRA_24,OFRA,FTC,B,124.179
OFRA_24,OFRA,FTC,B,124.416
OFRA_24,OFRA,FTC,B,137.044
OFRA_24,OFRA,FTC,B,152.597
OFRA_25,OFRA,FTC,UB,107.257
OFRA_29,OFRA,FTC,B,147.28
OFRA_29,OFRA,FTC,B,137.452
OFRA_29,OFRA,FTC,B,134.73
OFRA_29,OFRA,FTC,B,147.635
OFRA_29,OFRA,FTC,B,136.339
OFRA_31,OFRA,GMK,B,133.354
OFRA_31,OFRA,GMK,B,145.123
OFRA_34,OFRA,GMK,B,146.673
OFRA_34,OFRA,GMK,B,157.161
OFRA_34,OFRA,GMK,B,153.189
OFRA_36,OFRA,GMK,UB,106.103
OFRA_36,OFRA,GMK,UB,116.993
OFRA_37,OFRA,GMK,UB,151.266
OFRA_39,OFRA,GMK,UB,134.114
OFRA_39,OFRA,GMK,UB,133.9
OFRA_39,OFRA,GMK,UB,154.743
OFRA_39,OFRA,GMK,UB,151.663
OFRA_39,OFRA,GMK,UB,160.656
OFRA_39,OFRA,GMK,UB,146.568
OFRA_39,OFRA,GMK,UB,141.271
OFRA_39,OFRA,GMK,UB,146.372
OFRA_39,OFRA,GMK,UB,133.531
OFRA_39,OFRA,GMK,UB,149.48
OFRA_39,OFRA,GMK,UB,153.569
OFRA_39,OFRA,GMK,UB,140.989
OFRA_39,OFRA,GMK,UB,138.434
OFRA_39,OFRA,GMK,UB,138.481
OFRA_39,OFRA,GMK,UB,124.898
OFRA_39,OFRA,GMK,UB,121.46
OFRA_39,OFRA,GMK,UB,120.873
OFRA_39,OFRA,GMK,UB,116.663
OFRA_39,OFRA,GMK,UB,125.923
OFRA_39,OFRA,GMK,UB,123.279
OFRA_40,OFRA,GMK,UB,140.863
PAST_61,PAST,FTC,UB,125.863
PAST_61,PAST,FTC,UB,97.731
PAST_61,PAST,FTC,UB,147.917
PAST_61,PAST,FTC,UB,119.939
PAST_61,PAST,FTC,UB,121.596
PAST_64,PAST,FTC,UB,116.389
PAST_64,PAST,FTC,UB,122.094
